category_rev,FAI,Data
0.06,FAI73_DOE_6,0.0095
0.06,FAI73_DOE_6,0.4783
0.06,FAI73_DOE_7,0.183
0.06,FAI73_DOE_7,0.01
0.06,FAI73_DOE_7,-0.01
0.06,FAI73_DOE_7,0.193
0.06,FAI73_DOE_7,0.173
0.06,FAI73_DOE_7,-0.0376
0.06,FAI73_DOE_7,0.3376
0.06,FAI73_DOE_7,0.2024
0.06,FAI73_DOE_7,0.1646
0.06,FAI73_DOE_7,0.0111
0.06,FAI73_DOE_7,0.4389
0.06,FAI73_DOE_8,0.183
0.06,FAI73_DOE_8,0.01
0.06,FAI73_DOE_8,-0.01
0.06,FAI73_DOE_8,0.193
0.06,FAI73_DOE_8,0.173
0.06,FAI73_DOE_8,-1.0305
0.06,FAI73_DOE_8,0.9993
0.06,FAI73_DOE_8,0.2065
0.06,FAI73_DOE_8,0.193
0.06,FAI73_DOE_8,0.0203
0.06,FAI73_DOE_8,0.001
0.06,FAI73_DOE_9,0.183
0.06,FAI73_DOE_9,0.01
0.06,FAI73_DOE_9,-0.01
0.06,FAI73_DOE_9,0.193
0.06,FAI73_DOE_9,0.173
0.06,FAI73_DOE_9,-0.8461
0.06,FAI73_DOE_9,1.8546
0.06,FAI73_DOE_9,0.2014
0.06,FAI73_DOE_9,0.1945
0.06,FAI73_DOE_9,0.0146
0.06,FAI73_DOE_9,0.0056
0.06,FAI73_DOE_10,0.183
0.06,FAI73_DOE_10,0.01
0.06,FAI73_DOE_10,-0.01
0.06,FAI73_DOE_10,0.193
0.06,FAI73_DOE_10,0.173
0.06,FAI73_DOE_10,0.5585
0.06,FAI73_DOE_10,1.0727
0.06,FAI73_DOE_10,0.196
0.06,FAI73_DOE_10,0.1842
0.06,FAI73_DOE_10,0.0048
0.06,FAI73_DOE_10,0.9531
0.06,FAI73_DOE_11,0.183
0.06,FAI73_DOE_11,0.01
0.06,FAI73_DOE_11,-0.01
0.06,FAI73_DOE_11,0.193
0.06,FAI73_DOE_11,0.173
0.06,FAI73_DOE_11,-0.1717
0.06,FAI73_DOE_11,0.3083
0.06,FAI73_DOE_11,0.2214
0.06,FAI73_DOE_11,0.1725
0.06,FAI73_DOE_11,0.0156
0.06,FAI73_DOE_11,0.2942
0.06,FAI73_DOE_12,0.183
0.06,FAI73_DOE_12,0.01
0.06,FAI73_DOE_12,-0.01
0.06,FAI73_DOE_12,0.193
0.06,FAI73_DOE_12,0.173
0.06,FAI73_DOE_12,0.2359
0.06,FAI73_DOE_12,0.2696
0.06,FAI73_DOE_12,0.2053
0.06,FAI73_DOE_12,0.1658
0.06,FAI73_DOE_12,-0.0013
0.06,FAI73_DOE_12,0.579
