"Stage","FAI","Data"
"trail_1","FAI23","0.43074"
"trail_1","FAI24","4.49304"
"trail_1","FAI25","121.28749"
"trail_1","FAI26","115.34062"
"trail_1","FAI27","113.53519"
"trail_1","FAI28","111.05517"
"trail_1","FAI30","2.69736"
"trail_1","FAI31","0.67354"
"trail_1","FAI33","84.13937"
"trail_1","FAI34","80.51356"
"trail_1","FAI35","71.17077"
"trail_1","FAI36","62.42002"
"trail_1","FAI37","56.27552"
"trail_1","FAI38","3.78789"
"trail_1","FAI39","1.20023"
"trail_1","FAI40","42.76668"
"trail_1","FAI41","4.22827"
"trail_1","FAI42","13.87539"
"trail_1","FAI10_1","18.06915"
"trail_1","FAI10_2","18.0578"
"trail_1","FAI10_3","18.05284"
"trail_1","FAI11_1","3.0128"
"trail_1","FAI11_2","2.97907"
"trail_1","FAI11_3","2.93961"
"trail_1","FAI12","29.43125"
"trail_1","FAI13","15.04097"
"trail_1","FAI14","13.95736"
"trail_1","FAI15","43.36638"
"trail_1","FAI18","25.01097"
"trail_1","FAI20","22.21297"
"trail_1","FAI29","109.15466"
"trail_1","FAI32","85.84861"
"trail_1","FAI47","5.73459"
"trail_1","FAI48","17.64016"
"trail_1","FAI49","92.55967"
"trail_1","FAI50","115.20178"
"trail_1","FAI51","107.63211"
"trail_1","FAI52","81.41017"
"trail_1","FAI53","76.95506"
"trail_1","FAI54","68.42117"
"trail_1","FAI55_1","15.76531"
"trail_1","FAI55_2","15.78023"
"trail_1","FAI56","122.79429"
"trail_1","FAI57","116.95238"
"trail_1","FAI58","42.14868"
"trail_1","FAI59","43.37055"
"trail_1","FAI61","115.93131"
"trail_1","FAI62","109.16417"
"trail_1","FAI63","28.47144"
"trail_1","FAI64","45.15917"
"trail_1","FAI65","44.58176"
"trail_1","FAI66","41.24232"
"trail_1","FAI67","78.72846"
"trail_1","FAI68","77.01726"
"trail_1","FAI69","72.7676"
"trail_1","FAI70","44.58363"
"trail_1","FAI71","2.40058"
"trail_1","FAI43","1.08958"
"trail_1","SourceSheet","data4"
"trail_1","FAI1",NA
"trail_1","FAI2",NA
"trail_1","FAI4",NA
"trail_1","FAI5",NA
"trail_1","startTime","1899-12-31 00:53:01.4"
"trail_1","bin","22"
"trail_1","fixture1","#104"
"trail_1","fixture","#114"
"trail_1","FAI3_1","0.0544"
"trail_1","FAI3_2","0.05764"
"trail_1","FAI3_3","0.0554"
"trail_1","FAI3_4","0.04618"
"trail_1","FAI3_5","0.04932"
"trail_1","FAI3_6","0.04952"
"trail_1","FAI7","0.19204"
"trail_1","FAI44","0.02433"
"trail_1","FAI45","0.08817"
"trail_1","FAI72_T3A","0.00649"
"trail_1","FAI72_T3B","0.02779"
"trail_1","FAI72_T4A","0.00279"
"trail_1","FAI72_T4B","0.00275"
"trail_1","FAI72_T9A","0.01177"
"trail_1","FAI72_T9B","0.02836"
"trail_1","FAI73_T12","0.1134"
"trail_1","FAI73_T1","0.08732"
"trail_1","FAI73_T2A","0.12589"
"trail_1","FAI73_T2B","0.07415"
"trail_1","FAI73_T5A","0.15161"
"trail_1","FAI73_T5B","0.20792"
"trail_1","FAI73_T6","0.11632"
"trail_1","FAI73_T7A","0.12525"
"trail_1","FAI73_T7B","0.09946"
"trail_1","FAI73_T7C","0.14974"
"trail_1","FAI73_T10A","0.16506"
"trail_1","FAI73_T10B","0.12572"
"trail_1","FAI73_T11","0.12493"
"trail_1","FAI72DOE_1","5.3379999999999997E-2"
"trail_1","FAI72DOE_2","0.06219"
"trail_1","FAI72DOE_3","0.05865"
"trail_1","FAI73DOE_1","0.15714"
"trail_1","FAI73DOE_2","0.239"
"trail_1","FAI73DOE_3","0.13494"
"trail_1","FAI73DOE_4","0.1507"
"trail_1","FAI73DOE_5","0.15568"
"trail_1","FAI73DOE_6","0.15901"
"trail_1","FAI73DOE_7","0.14633"
"trail_1","FAI73DOE_8","0.16489"
"trail_1","FAI73DOE_9","0.16111"
"trail_1","FAI73DOE_10","0.19481"
"trail_1","FAI73DOE_11","0.19091"
"trail_1","FAI73DOE_12","0.17629"
"trail_1","FAI16","40.40918"
"trail_1","FAI17","34.04235"
"trail_1","FAI19","23.144"
"trail_1","FAI21","20.62639"
"trail_1","FAI22","12.53882"
"trail_1","FAI23","0.42191"
"trail_1","FAI24","4.48395"
"trail_1","FAI25","121.29222"
"trail_1","FAI26","115.35077"
"trail_1","FAI27","113.54918"
"trail_1","FAI28","111.05908"
"trail_1","FAI30","2.69038"
"trail_1","FAI31","0.66022"
"trail_1","FAI33","84.14459"
"trail_1","FAI34","80.52348"
"trail_1","FAI35","71.17828"
"trail_1","FAI36","62.43154"
"trail_1","FAI37","56.2853"
